Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Strategic Planning and Execution,University of Virginia,Intermediate,4.7,https://www.coursera.org/learn/uva-darden-strategic-planning-execution,Avoid the pitfalls of strategy planning and execution with the tools and skills from this course.,analytics  Business Strategy  strategy implementation  strategic management  strategic planning  technology strategy  Strategy  Strategic Analysis  Planning  analysis business business-strategy
Change Leadership: Developing Strategic Gap Analysis in Miro,Coursera Project Network,Advanced,4.9,https://www.coursera.org/learn/change-gap-analysis,"By the end of this guided project, you will be fluent in identifying, and mapping variables for Gap Analysis using a hands-on example.",Mapping  business case  project  personal advertisement  leadership  Leadership and Management  Change Management  Writing  Average  Planning business business-strategy
Internet of Things Capstone V2: Build a Mobile Surveillance System,University of California San Diego,Advanced,4.8,https://www.coursera.org/learn/internet-of-things-capstone-version2,"In the Capstone project for the Internet of Things specialization, you will design and build your own system that uses at least 2 sensors, at least 1 communication protocol and at least 1 actuator.",internet  Planning  ordered pair  ip camera  exit (system call)  Billing  Workstations  internet of things  materials  project physical-science-and-engineering electrical-engineering
Responsive Website Tutorial and Examples,University of London,Advanced,4.3,https://www.coursera.org/learn/responsive-website-examples,"In this course, we will show you exciting examples of collaborative, interactive web applications that use various types of media including sound, images and big data.",Web Development  Web Design  Databases  meteor  mongodb  web application  wordpress  Collaboration  responsive web design  html computer-science mobile-and-web-development
Entrepreneurial Strategic Management,University of New Mexico,Beginner,4.5,https://www.coursera.org/learn/entrepreneurial-strategic-management,This course utilizes an inquiry based approach to understanding sources of competitive advantages in companies and other organizations.,ordered pair  Entrepreneurship  public administration  business administration  Leadership and Management  measurement  Influencing  Strategy  strategic management  Business Strategy business entrepreneurship
Personality Types at Work,University of Florida,Intermediate,4.4,https://www.coursera.org/learn/personality-types-at-work,"Knowing yourself, your team, your manager, and your organization are keys to personal and business success.",personality  personality development  personality tests  supervision  Emotional Intelligence  development of personality  leadership  personality test  coaching  Leadership and Management personal-development personal-development
Overview of Advanced Methods of Reinforcement Learning in Finance,New York University,Advanced,3.2,https://www.coursera.org/learn/Advanced-methods-reinforcement-learning-finance,"In the last course of our specialization, Overview of Advanced Methods of Reinforcement Learning in Finance, we will take a deeper look into topics discussed in our third course, Reinforcement Learning in Finance.",classical mechanics  financial modeling  competition (economics)  modeling  Reinforcement Learning  Finance  market (economics)  valuation of options  options strategies  mathematical finance computer-science algorithms
Process Improvement: a Kaizen Event with Google Slides,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/kaizen-event-process-improvement-google-slides,"During this project, we will be working together to create a Kaizen Event for a warehouse worker and walk through the steps together to improve their daily workflow.",business process  Process Mapping  six sigma  process management  Project Management  Process Improvement  analysis  Kaizen  process  Map business business-strategy
Sales Force Management,West Virginia University,Advanced,4.6,https://www.coursera.org/learn/sales-force-management,"The second course in the Sales Operations/Management Specialization, Sales Force Management covers various aspects of hiring and personnel administration.",job analysis  sales management  Leadership and Management  Training Programs  Customer Relationship Management  Recruiting  Sales  Salesforce  Recruitment  Training business leadership-and-management
Performing Data Aggregation using SQL Aggregate Functions,Coursera Project Network,Intermediate,4.8,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions.",ascendency  join (sql)  Mathematics  SQL  aggregate function  data aggregation  information retrieval  euler's totient function  relative change and difference  Databases data-science data-analysis
Ecosystem Services: a Method for Sustainable Development,University of Geneva,Intermediate,4.7,https://www.coursera.org/learn/ecosystem-services,Ecosystem services are a way of thinking about  and evaluating  the goods and services provided by nature that contribute to the well-being of humans.,biodiversity  Environmental Protection  climate change  ecosystem  case study  sustainability  ecosystems  remote sensing  ecosystem services  the economics of ecosystems and biodiversity physical-science-and-engineering environmental-science-and-sustainability
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,Beginner,4.7,https://www.coursera.org/learn/cloud-infrastructure-design-process,This course equips students to build highly reliable and efficient solutions on Google Cloud using proven design patterns.,Google Cloud Platform  Cloud Platforms  Cloud Computing  process  security  Cloud Infrastructure  deployment environment  site reliability engineering  architecture  reliability engineering information-technology cloud-computing
Using TensorFlow with Amazon Sagemaker,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/sagemaker-tensorflow,Please note: You will need an AWS account to complete this course.,Tensorflow  Algorithms  statistical classification  Deep Learning  Machine Learning  Keras  Estimator  Artificial Neural Networks  euler's totient function  Natural Language Processing data-science machine-learning
Firm Level Economics: Markets and Allocations,University of Illinois at Urbana-Champaign,Beginner,4.8,https://www.coursera.org/learn/firm-level-economics-markets,"In this class, we will derive equilibrium outcomes across a variety of market structures.",Game Theory  externality  resource allocation  competitiveness  Economics  market (economics)  Market Structures  Economic Analysis  analysis  perfect competition business finance
The Data Science of Health Informatics,Johns Hopkins University,Beginner,4.6,https://www.coursera.org/learn/the-data-science-of-health-informatics,"Health data are notable for how many types there are, how complex they are, and how serious it is to get them straight.",health data  vital signs  Databases  data type  informatics  data quality  Data Management  analytics  Big Data  medication life-sciences health-informatics
Preparing to Manage Human Resources,University of Minnesota,Beginner,4.8,https://www.coursera.org/learn/managing-human-resources,"One way or another, all employees are managed.",law  employment  Human Resources  resource management  Leadership and Management  leadership  resource  HR Strategy  human resource management system  Strategy business leadership-and-management
COVID19 Data Analysis Using Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/covid19-data-analysis-using-python,"In this project, you will learn how to preprocess and merge datasets to calculate needed measures and prepare them for an Analysis.",Data Analysis  Python Programming  Matplotlib  Numpy  python libraries  analysis  Computer Programming  project  Data Visualization  Scatter Plot data-science data-analysis
De-Mystifying Mindfulness,Universiteit Leiden,Intermediate,4.8,https://www.coursera.org/learn/mindfulness,"Interest in meditation, mindfulness, and contemplation has grown exponentially in recent years.",stress  calmness  compassion  mindfulness  gratitude  kindness  philosophy  Human Learning  meditation  awareness personal-development personal-development
International Marketing Entry and Execution,Yonsei University,Intermediate,4.7,https://www.coursera.org/learn/international-marketing-entry-execution,This will be part 2 of a two-series foundation courses for the Specialization: International Marketing & Cross Industry Growth.,Innovation  Marketing  Target Market  promotion (marketing)  marketing mix  social marketing  interview  Strategy  consumer behaviour  global marketing business marketing
Law in the Time of COVID-19: A Northwestern Teach-Out,Northwestern University,Beginner,4.4,https://www.coursera.org/learn/law-in-the-time-of-covid-19,The COVID-19 crisis raises a number of important legal issues.,Business Law  Criminal Justice  disease surveillance  medical law  Legal Support  justice  law  contact tracing  labour law  authority social-sciences law
Mastering bitumen for better roads and innovative applications,cole des Ponts ParisTech,Intermediate,4.7,https://www.coursera.org/learn/mastering-bitumen,"During the four coming weeks, best experts in bitumen will bring you their knowledge and experience to build a strong understanding of todays realities and new perspectives on the future of bitumen.",Civil Engineering  hydraulics  specification (technical standard)  Roofing  chemistry  relative change and difference  Transportation Engineering  Road Construction  Fracture Mechanics  .properties physical-science-and-engineering chemistry
"Engineering Life: Synbio, Bioethics & Public Policy",Johns Hopkins University,Intermediate,4.4,https://www.coursera.org/learn/synbioethics,"Synbio is a diverse field with diverse applications, and the different contexts (e.",DNA  human subject research  bioethics  synthetic biology  risk benefit ratio  biotechnology  recombinant dna  biosafety  biofuel  biology life-sciences public-health
Customer-Centric IT Strategy,University of Virginia,Intermediate,4.5,https://www.coursera.org/learn/uva-darden-customer-centric-it-strategy,"Now more than ever, corporations are investing heavily in IT.",leadership  customer satisfaction  customer service  modeling  business model canvas  Microsoft Excel  technology strategy  Systems Design  Digital Marketing  Problem Solving business business-essentials
Neural Networks and Deep Learning,DeepLearning.AI,Beginner,4.9,https://www.coursera.org/learn/neural-networks-deep-learning,"If you want to break into cutting-edge AI, this course will help you do so.",Deep Learning  Regression  Human Learning  Backpropagation  supply chain  Python Programming  Computer Programming  Artificial Neural Networks  Logistic Regression  Numpy data-science machine-learning
Securing Investment Returns in the Long Run,University of Geneva,Intermediate,4.7,https://www.coursera.org/learn/investment-returns-long-run,"In this course, you will learn about the famous dichotomy between active and passive investing, how to appropriately measure and analyze investment performance and what the future trends in the investment management industry are.",asset management  investment  stock  FinTech  sustainability  Leadership and Management  rate of return  valuation (finance)  Finance  Investment Management business finance
Cloud Computing Concepts: Part 2,University of Illinois at Urbana-Champaign,Advanced,4.6,https://www.coursera.org/learn/cloud-computing-2,"Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies  all centered around distributed systems.",distributed computing  file system  wireless sensor network  sensor network  deadlock  elections  Cloud Computing  clustered file system  mutual exclusion  distributed file systems computer-science algorithms
Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,Advanced,4.2,https://www.coursera.org/learn/systems-biology,"This course will introduce the student to contemporary Systems Biology focused on mammalian cells, their constituents and their functions.",bios  molecular biology  systems biology  biology  analysis  proteomics  computational biology  biochemistry  .properties  Bioinformatics life-sciences basic-science
The Horse Course: Introduction to Basic Care and Management,University of Florida,Beginner,4.9,https://www.coursera.org/learn/horse-care,"There are over 100 million horses, donkeys and mules in the world today and owners of these animals can be found on almost every continent and in almost every society.",Human Learning  disease  behavior  animal behavior  anatomy  Leadership and Management  Disease Management  animal  nutrition  horse care life-sciences animal-health
Innovation Strategy: Developing Your Fintech strategy,Copenhagen Business School,Advanced,4.5,https://www.coursera.org/learn/innovation-strategy-fintech,"Welcome toInnovation strategy: Developing your Fintech Strategy! As you probably know, this is the third course in a three-part specialization focused on the digital transformation of finance.",organizational structure  Strategic Partnerships  Strategy  hypercompetition  lecture  financial services companies  financial services  Innovation  FinTech  Banking business business-strategy
Understanding Cancer Metastasis,Johns Hopkins University,Beginner,4.8,https://www.coursera.org/learn/cancer-metastasis,"Over 500,000 people in the United States and over 8 million people worldwide are dying from cancer every year.",senescence  stemming  Human Learning  Cancer  biology  cachexia  tumor  molecular biology  Causality  Cancer Biology life-sciences basic-science
Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI),Johns Hopkins University,Intermediate,4.6,https://www.coursera.org/learn/patient-safety-measurement,"How will you know if your patient safety and quality project is meeting its objectives? Peter Drucker once said What gets measured, gets managed.",safety  performance  patient safety  measurement  health system  Data Analysis  measure b  evaluation  categorization  performance measurement life-sciences healthcare-management
Building Deep Learning Models with TensorFlow,IBM,Beginner,4.1,https://www.coursera.org/learn/building-deep-learning-models-with-tensorflow,The majority of data in the world is unlabeled and unstructured.,Machine Learning  convolution  PyTorch  Artificial Neural Networks  recurrent neural network  unsupervised learning  Human Learning  Deep Learning  Tensorflow  Autoencoder data-science machine-learning
Crash Course on Python,Google,Conversant,4.7,https://www.coursera.org/learn/python-crash-course,This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures.,list comprehension  python syntax and semantics  ipython  Problem Solving  Computer Programming  semantics  syntax  Data Structures  Python Programming  data type information-technology support-and-operations
Programming with Cloud IoT Platforms,Pohang University of Science and Technology,Advanced,4.3,https://www.coursera.org/learn/cloud-iot-platform,"Internet of Things (IoT) is an emerging area of information and communications technology (ICT) involving many disciplines of computer science and engineering including sensors/actuators, communications networking, server platforms, data analytics and smart applications.",mqtt  microcontroller  hardware interface design  internet of things  Microsoft Azure  telecommunications network  internet  Cloud Platforms  internet protocol  Cloud Computing information-technology networking
Mergers and Acquisitions  The Relentless Pursuit of Synergy,Moscow Institute of Physics and Technology,Intermediate,4.3,https://www.coursera.org/learn/mergers-and-acquisitions,The area of mergers and acquisitions (M&As) is special in finance.,value proposition  corporate governance  investment banking  wiping  financial markets  market (economics)  Finance  Mergers & Acquisitions  strategic management  competition law business finance
Preventing Chronic Pain: A Human Systems Approach,University of Minnesota,Intermediate,4.7,https://www.coursera.org/learn/chronic-pain,Chronic pain is at epidemic levels and has become the highest-cost condition in health care.,pain management  lifestyle medicine  Chronic Pain Management  chronic pain  physical therapy  pain  Leadership and Management  arthritis  patient  chiropractic life-sciences patient-care
Building the Business Model for Corporate Entrepreneurs,"University of Maryland, College Park",Advanced,4.6,https://www.coursera.org/learn/corporate-entrepreneurs-business-model,"Led by Dan Gordon, a University of Maryland faculty member who teaches business modeling in the National Science Foundation's I-Corps Program, this course enables you to develop and apply the Business Model Canvas tool to scope a corporate challenge or opportunity.",Entrepreneurship  market segmentation  Business Modeling  minimum viable product  modeling  business model canvas  Customer Analysis  value proposition  product/market fit  corporate bond business entrepreneurship
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,Beginner,4.8,https://www.coursera.org/learn/introduction-to-futures-thinking,"Do you want to think about the future with more creativity and optimism? Do you want to see whats coming faster, so you can be better prepared for disruptions and more in control of your future? Do you want to get better at changing whats possible today  in your company, your industry, your community, and in your own life?  This course will introduce you to the practice of futures thinking, as developed and applied for the past 50 years by the Institute for the Future, a Silicon-Valley-based research and learning group founded in 1968.",scenario planning  design thinking  futures studies  philosophy  Cooking  stock  Forecasting  thought  Virtual Reality  Innovation business business-essentials
Image Processing with Python,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/image-processing-with-python,Image processing has been used to create weird and beautiful modifications to pictures many of us have seen online.,global positioning system  opencv  medical imaging  image processing  project  Python Programming  photography  Video Editing  digital image processing  Computer Programming computer-science software-development
Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,Intermediate,4.3,https://www.coursera.org/learn/linear-models,Welcome to the Advanced Linear Models for Data Science Class 1: Least Squares.,rank (linear algebra)  matrices  least squares  Linear Algebra  linear regression  Square (Algebra)  General Statistics  linear model  linearity  Regression data-science probability-and-statistics
Terraform Basics: Automate Provisioning of AWS EC2 Instances,Coursera Project Network,Intermediate,5,https://www.coursera.org/learn/terraform-devops-aws-cloud-iac-ec2,"In this Guided Project, you will do a quick tour of Terraform, one of the most popular tools used by DevOps teams to automate infrastructure tasks.",Writing  project mine  Planning  project  provisioning  Continuous Function  must  command-line interface  resource  entry point information-technology cloud-computing
Pricing Strategy in Practice,University of Virginia,Advanced,4.7,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-practice,"In this project-centered course, Darden's Ron Wilcox and BCG's Thomas Kohler will walk you through a real-world case, from problem statement to detailed analyses.",market segmentation  Strategy  market (economics)  Market Dynamics  revenue management  price elasticity of demand  cost  conjoint analysis  pricing strategies  pricing business marketing
Reinforcement Learning in Finance,New York University,Advanced,2.5,https://www.coursera.org/learn/reinforcement-learning-in-finance,"This course aims at introducing the fundamental concepts of Reinforcement Learning (RL), and develop use cases for applications of RL for option valuation, trading, and asset management.",pricing  iteratively reweighted least squares  valuation of options  Finance  stochastic approximation  markov decision process  bellman equation  augmented assignment  Reinforcement Learning  reinforcement data-science machine-learning
Mastering the Software Engineering Interview,University of California San Diego,Conversant,4.6,https://www.coursera.org/learn/cs-tech-interview,Youve hit a major milestone as a computer scientist and are becoming a capable programmer.,phone-in  Data Structures  Problem Solving  pitfall!  interview  internet slang  Software Engineering  algorithmics  thought  experience computer-science software-development
Django Features and Libraries,University of Michigan,Beginner,4.8,https://www.coursera.org/learn/django-features-libraries,"In this course, you will learn how to build Django-based web applications suitable for use by end users.",html  angularjs  django (web framework)  Python Programming  php  Web Development  flask  Javascript  web  json computer-science mobile-and-web-development
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,Universiteit Leiden,Beginner,4.7,https://www.coursera.org/learn/circular-economy-metals,Metals are present everywhere around us and are one of the major materials upon which our economies are built.,Geology  supply chain  energy  economy  metabolism  Energy Systems  Economic Development  sustainability  circular economy  resource physical-science-and-engineering environmental-science-and-sustainability
Information Visualization: Advanced Techniques,New York University,Advanced,4.8,https://www.coursera.org/learn/information-visualization-Advanced-techniques,This course aims to introduce learners to Advanced visualization techniques beyond the basic charts covered in Information Visualization: Fundamentals.,Information Visualization  stack (abstract data type)  Time Series  Map  Line Chart  Chart  Data Visualization  kibana  d3.js  analysis data-science data-analysis
Startup: How to build a successful business?,Saint Petersburg State University,Advanced,4,https://www.coursera.org/learn/startup-english,"Startup is a newly opened company, that requires financial and resource aid for its further development.",technical support  reason  process  capital structure  Finance  lean startup  materials  business process  Business Development  modeling business business-strategy
Inventory Analytics,Rutgers the State University of New Jersey,Beginner,4.3,https://www.coursera.org/learn/inventoryanalytics,Inventory analytics is the corner stone of supply chain analytics.,supply chain management  inventory control  supply chain  industrial engineering  inventory turnover  Market Research  supply chain analytics  Inventory Management  inventory  analytics business business-essentials
COVID19 Data Visualization Using Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/covid19-data-visualization-using-python,"By the end of this project, you will learn How you can use data visualization techniques to answer to some analytical questions.",analysis  measurement  graphs  Chart  Bar Chart  ordered pair  Python Programming  Plotly  Data Visualization  project data-science data-analysis
Using Git for Distributed Development,The Linux Foundation,Advanced,4.6,https://www.coursera.org/learn/git-distributed-development,Course 4 focuses on using git for open source software distributed development.,bash (unix shell)  php  gitlab  distributed development  open source  unix  data comparison  version control  github  diff utility computer-science software-development
Becoming a Sports Agent,Case Western Reserve University,Advanced,4.7,https://www.coursera.org/learn/sports-agent,An immersive experience in the world of sports that will take students through the four stages of a professional athlete's career.,Contract Negotiation  law  buyout  sports law  publicity  insurance policy  career  Recruiting  sports  monetization social-sciences law
"Teacher SEL: Programs, Possibilities, and Contexts",University of Colorado Boulder,Intermediate,4.7,https://www.coursera.org/learn/teacher-sel-programs,"Social and emotional learning, or SEL, student programs have flourished in schools during the last decade.",education  parent  Professional Development  faith  experience  emotional well-being  mindfulness  teaching  parenting  Emotional Intelligence social-sciences education
Why Iowa? A Primer on Primaries and Caucuses Teach-Out,University of Michigan,Beginner,4.5,https://www.coursera.org/learn/why-iowa-a-primer-on-primaries-and-caucuses,"The United States presidential election process is a complex one, spanning terms like Super Tuesday, delegates and incumbents, primaries and caucuses, and more.",construals  behavior  independence of irrelevant alternatives  macromarketing  election campaigning  voting  participatory politics  power politics  L&D Strategy  resource social-sciences governance-and-society
Take Your English Communication Skills to the Next Level,Georgia Institute of Technology,Advanced,4.7,https://www.coursera.org/learn/english-communication-capstone,This Capstone builds on the communication and content skills youve acquired throughout the Specialization and develops them further.,english language  Writing  email writing  language  presentation  Communication  email  public speaking  speech  Business Communication language-learning learning-english
Service-Oriented Architecture,University of Alberta,Advanced,4.4,https://www.coursera.org/learn/service-oriented-architecture,"Based on an understanding of architectural styles, you will review architectures for web applications, then explore the basics of Service-Oriented Architecture (SOA) in two approaches: Web Services (WS*) and Representational State Transfer (REST) architecture.",architecture  Software Architecture  application programming interfaces  software  web service  representational state transfer  web  microservices  soap (protocol)  service-oriented architecture computer-science software-development
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,Advanced,4.7,https://www.coursera.org/learn/gcp-fundamentals-aws,"This accelerated 6-hour course with labs introduces AWS professionals to the core capabilities of Google Cloud Platform (GCP) in the four technology pillars: networking, compute, storage, and database.",bigquery  Cloud Platforms  load balancing  Network Infrastructure  Databases  Cloud Computing  Cloud Storage  Google Cloud Platform  data centers  Big Data computer-science computer-security-and-networks
Introduction to Programming and Animation with Alice,Duke University,Advanced,4.4,https://www.coursera.org/learn/introtoalice,"This course is an introductory programming course that combines programming with animation, using the programming environment Alice.",storyboarding  euler's totient function  game programming  java desktop system  while loop  exercise  animation software  computer animation  Computer Programming  arrays computer-science software-development
Population Health: Fundamentals of Population Health Management,Universiteit Leiden,Advanced,4.5,https://www.coursera.org/learn/fundamentals-population-health-management,What are the principles of Population Health Management as a pro-active management approach to improve health and to tackle health disparities? In this course we will discuss the basic principles of Population Health Management that will help you as (future) health care professional or policymaker to analyse current healthcare challenges and to design possible solutions using the Population Health Management Approach.,tragedy of the commons  Population  canning  Influencing  determinants of health  Continuous Function  Clinical Epidemiology  Determinants  public health  strategic planning life-sciences healthcare-management
An Introduction to the U.S. Food System: Perspectives from Public Health,Johns Hopkins University,Intermediate,4.7,https://www.coursera.org/learn/food-system,"A food system encompasses the activities, people and resources involved in getting food from field to plate.",nutrition  food policy  farm  nutrition education  food desert  food security  agriculture  public health  sustainability  animal product life-sciences public-health
Statistics for International Business,University of London,Advanced,3.5,https://www.coursera.org/learn/statistics-international-business,This course introduces core areas of statistics that will be useful in business and for several MBA modules.,Central Tendency  Standard Deviation  probability density function  Categorical Variable  Time Series  analysis  General Statistics  Studentized Residual  Point Estimation  Null Hypothesis business finance
Engineering Practices for Building Quality Software,University of Minnesota,Conversant,4.1,https://www.coursera.org/learn/engineering-practices-secure-software-quality,Agile embraces change which means that team should be able to effectively make changes to the system as team learns about users and market.,code coverage  version control systems  software project management  design pattern  software quality  Software Architecture  static analysis  software  Continuous Integration  Software Engineering computer-science software-development
Game Design and Development Capstone,Michigan State University,Advanced,4.7,https://www.coursera.org/learn/gamedev-capstone,"In the game design and development capstone, you will create an original game from initial concept through implementation and then launch it to the world! Along the way, you will have the opportunity to put your game ideas in front of your peers and for the best-of-the-best you will have the chance to get feedback from game industry professionals.",hopefully  look and feel  playtest  c sharp (programming language)  sed  video game development  game design  Android Development  unreal engine  ordered pair computer-science software-development
Client Needs and Software Requirements,University of Alberta,Conversant,4.7,https://www.coursera.org/learn/client-needs-and-software-requirements,This course covers practical techniques to elicit and express software requirements from client interactions.,use case  software requirements  requirements elicitation  requirements management  analysis  user story  Leadership and Management  software  requirements analysis  Software Engineering computer-science design-and-product
Getting Started with Linux Terminal,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/getting-started-with-linux-terminal,"In this 1-hour long project-based course, you will learn how to use simple commands to create and manipulate files and folders, perform multiple complex tasks using one simple command, use the superuser to perform high privilege operations.",project mine  uniform resource locator  superuser  Operations Management  Bayesian  anonymous pipe  download  internet  project  Operating Systems computer-science computer-security-and-networks
Databases and SQL for Data Science,IBM,Conversant,4.6,https://www.coursera.org/learn/sql-data-science,Much of the world's data resides in databases.,Computer Programming  Python Programming  Databases  ipython  SQL  Leadership and Management  ibm db2  Database Connection  Cloud Computing  relational database data-science data-analysis
Understanding Financial Markets,University of Geneva,Beginner,4.7,https://www.coursera.org/learn/understanding-financial-markets,"In this course, you will learn what the main financial markets and their characteristics are as well as how they are linked to the economy.",Risk  investment  interest  stock  bond market  Finance  financial markets  Leadership and Management  market (economics)  equity (finance) business finance
Create and Format a Basic Document with LibreOffice Writer,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/create-format-document-with-libreoffice-writer,"In this project, you will create a new document from scratch using the basic features and functionality of the Office Libre Writer application.",saving  r&d management  numbers (spreadsheet)  learning how to learn  documents  project  Writing  page layout  Project Management  Note Taking business business-essentials
Intellectual Humility: Theory,The University of Edinburgh,Beginner,4.5,https://www.coursera.org/learn/intellectual-humility-theory,Faced with difficult questions people often tend to dismiss and marginalize dissent.,intuition  child  coaching  psychology  emotions  intellectual  cognitive science  virtue  philosophy  psychological theories arts-and-humanities philosophy
Oral Communication for Engineering Leaders,Rice University,Advanced,4.5,https://www.coursera.org/learn/oral-communication,Taught by Rice University communication faculty from the Rice Center for Engineering Leadership (RCEL).,Engineering Leadership  Communication  presentation  public speaking  leadership  Strategy  strategic communication  audience  elevator pitch  oral communication business leadership-and-management
Legal Tech & Startups,IE Business School,Beginner,4.5,https://www.coursera.org/learn/legal-tech-startups,LegalTech is the reaction to the disruption that technology is having across all sectors of the economy.,lean startup  MailChimp  Marketing  Business Law  stock market  growth hacking  key market  software  Product Development  law business entrepreneurship
Business English: Making Presentations,University of Washington,Advanced,4.8,https://www.coursera.org/learn/business-english-presentations,This course teaches you language and techniques that will help you make effective presentations in English.,pitch book  language  Business Communication  presentation  Business Presentations  Communication  english language  Business Writing  Writing  marketing strategy language-learning learning-english
Software Security,"University of Maryland, College Park",Advanced,4.6,https://www.coursera.org/learn/software-security,This course we will explore the foundations of software security.,internet security  SQL  security  Security Software  web  buffer overflow  software  penetration test  analysis  sql injection computer-science computer-security-and-networks
Photovoltaic solar energy,cole Polytechnique,Beginner,4.1,https://www.coursera.org/learn/photovoltaic-solar-energy,The course is an introduction to the photovoltaic (PV) applications in the general mix energetic context dominated by climate warming mitigation.,Energy Engineering  Solar Energy  Photovoltaic Energy  Manual Welding  energy  renewable energy  Load Calculations  Electrical Engineering  Mechanical Engineering  Wind Power physical-science-and-engineering electrical-engineering
A Scientific Approach to Innovation Management,Universit Bocconi,Beginner,4.4,https://www.coursera.org/learn/scientific-approach-innovation-management,"How can innovators understand if their idea is worth developing and pursuing? In this course, we lay out a systematic process to make strategic decisions about innovative product or services that will help entrepreneurs, managers and innovators to avoid common pitfalls.",Regression  Regression Analysis  analysis  innovation management  Leadership and Management  Correlation And Dependence  probability  correlation does not imply causation  Innovation  evaluation business business-strategy
Accounting for Business Decision Making: Strategy Assessment and Control,University of Illinois at Urbana-Champaign,Advanced,3.4,https://www.coursera.org/learn/business-assessment,"Accounting information is the lifeblood of the organization, as it facilitates and influences operational and strategic decisions intended to achieve organizational goals.",Planning  pricing  internality  performance measurement  bookkeeping  Accounting  Financial Analysis  measurement  strategic management  transfer pricing business business-essentials
Introduction to Data Science in Python,University of Michigan,Advanced,4.3,https://www.coursera.org/learn/python-data-analysis,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library.",analysis  Pandas  Data Analysis  Computer Programming  statistical hypothesis testing  Numpy  Data Manipulation  General Statistics  hypothesis  Python Programming data-science data-analysis
Analytic Combinatorics,Princeton University,Advanced,4.6,https://www.coursera.org/learn/analytic-combinatorics,Analytic Combinatorics teaches a calculus that enables precise quantitative predictions of large combinatorial structures.,prior probability  analytics  Combinatorics  Analytic Combinatorics  recursion  euler's totient function  the symbolic  complex analysis  symbolic method  approximation math-and-logic math-and-logic
Create a Resume and Cover Letter with Google Docs,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/create-resume-cover-letter-google-docs,"In this project, you will create your very own resume and cover letter from start to finish.",Resume Screening  personal advertisement  doxing  psychology  email writing  project  saving  r&d management  documents  Writing business business-essentials
Exploring Beethoven's Piano Sonatas Part 4,Curtis Institute of Music,Beginner,4.9,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-4,"Please join us for Part 4 of Exploring Beethoven's Piano Sonatas course, taught by Curtis faculty member and extraordinary concert artist, Jonathan Biss.",u.s. securities and exchange commission  Experiment  chord  doubt  persistence  assertiveness  flipping  analysis  Art History  piano arts-and-humanities history
Moralities of Everyday Life,Yale University,Beginner,4.8,https://www.coursera.org/learn/moralities,How can we explain kindness and cruelty? Where does our sense of right and wrong come from? Why do people so often disagree about moral issues? This course explores the psychological foundations of our moral lives.,Critical Thinking  moral psychology  philosophy  verse protocol  psychologies  moral universe  reason  psychology  ethics  thought life-sciences psychology
"Cybersecurity Roles, Processes & Operating System Security",IBM,Beginner,4.5,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,This course gives you the background needed to understand basic Cybersecurity  around people.,Cloud Computing  operating system security  security  cyber-security regulation  virtual machine  file system  System Security  process  Operating Systems  cloud computing security information-technology security
"Cybersecurity Roles, Processes & Operating System Security",IBM,Beginner,4.5,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,This course gives you the background needed to understand basic Cybersecurity  around people.,Cloud Computing  operating system security  security  cyber-security regulation  virtual machine  file system  System Security  process  Operating Systems  cloud computing security information-technology security
Multiple Linear Regression with scikit-learn,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/scikit-learn-multiple-linear-regression,"In this 2-hour long project-based course, you will build and evaluate multiple linear regression models using Python.",project  modeling  Data Visualization  linearity  Scikit-Learn  measurement  interaction (statistics)  Regression Analysis  Regression  linear regression data-science machine-learning
